หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
4,"ศาลากลางบ้าน หมู่ที่ 6",บ้านพระ,14.1170763,101.3247954,890,700,78.65,32,30,220,0,0,0,4,29,188,54,124,5,11
5,"ศาลาการเปรียญวัดเนินดินแดง",บ้านพระ,14.143281,101.3689105,591,404,68.36,17,16,131,0,0,0,3,29,117,27,58,1,5
6,"ศาลาธรรมสังเวชวัดเนินดินแดง",บ้านพระ,14.1303767,101.4014567,713,526,73.77,19,33,191,0,0,0,3,23,106,54,77,7,8
7,"ศาลากลางบ้าน หมู่ที่ 8",บ้านพระ,14.0876439,101.3870494,690,528,76.52,16,16,191,0,0,0,5,21,167,39,56,3,10
8,"ศาลาวัดคาทอลิก",บ้านพระ,14.0976927,101.3726762,523,420,80.31,23,12,135,0,0,0,0,13,170,15,41,3,6
9,"ศาลากลางบ้าน บ้านดงกระจาย หมู่ที่ 10",บ้านพระ,14.0950713,101.3228385,455,351,77.14,22,21,87,0,0,0,0,9,155,15,37,2,2
10,"ศาลากลางบ้าน หมู่ที่ 11",บ้านพระ,14.1353482,101.3534557,645,490,75.97,20,30,214,0,0,0,3,14,127,25,42,4,4
11,"ศาลาการเปรียญวัดบ้านยาง",บ้านพระ,14.0896412,101.3331174,432,318,73.61,12,18,78,0,0,0,0,34,114,16,40,4,1
12,"ศาลาอเนกประสงค์บ้านป่าเสือ",บ้านพระ,14.0868597,101.358471,378,316,83.60,10,10,85,0,0,0,1,7,161,7,26,3,3
13,"อาคารโครงการบ้านหัวเขา",บ้านพระ,14.1317271,101.3498112,603,494,81.92,23,12,159,0,0,0,2,15,233,9,37,2,1
14,"อาคารศูนย์อาหารโอทอปพลาซ่า",บ้านพระ,14.0923001,101.3764495,662,489,73.87,18,34,151,0,0,0,4,77,77,45,63,4,7
15,"อาคารศูนย์อาหารโอทอปพลาซ่า",บ้านพระ,14.0846785,101.335249,753,396,52.59,16,21,191,0,0,0,2,38,35,29,49,5,10
16,"อาคารศูนย์อาหารโอทอปพลาซ่า",บ้านพระ,14.1083802,101.3364192,669,439,65.62,11,23,221,0,0,0,6,22,74,26,44,4,4
17,"อาคารศูนย์อาหารโอทอปพลาซ่า",บ้านพระ,14.1238163,101.3043077,905,508,56.13,18,33,192,0,0,0,5,91,29,36,87,5,5
18,"อาคารศูนย์อาหารโอทอปพลาซ่า",บ้านพระ,14.0942949,101.3623512,662,416,62.84,8,26,206,0,0,0,1,16,91,16,44,1,4
19,"ศาลากลางบ้าน หมู่ที่ 16",บ้านพระ,14.1172473,101.3624493,558,422,75.63,25,11,134,0,0,0,5,5,148,32,53,1,3
20,"ศาลาการเปรียญวัดหนองประเทือง",บ้านพระ,14.0888585,101.4035326,645,491,76.12,18,17,169,0,0,0,2,18,170,28,60,8,0
21,"ศาลาการเปรียญวัดหนองจอก",บ้านพระ,14.1398993,101.3790097,595,461,77.48,23,16,180,0,0,0,1,11,164,16,41,3,4
1,"ศาลาการเปรียญวัดนาปรือ",เนินหอม,14.1800736,101.355472,498,355,71.29,7,12,94,0,0,0,1,8,198,9,22,0,3
1,"อาคารอเนกประสงค์ อบต.เนินหอม",เนินหอม,14.1870265,101.3998518,530,412,77.74,18,4,145,0,0,0,2,8,169,13,46,2,3
2,"ศาลาการเปรียญวัดเนื่องเกียรตินิกร",เนินหอม,14.2238425,101.4283658,670,524,78.21,20,31,186,0,0,0,9,30,115,45,73,3,4
2,"ศาลาการเปรียญวัดเนินหอม",เนินหอม,14.1796286,101.3496605,828,604,72.95,25,15,158,0,0,0,5,17,309,16,48,5,2
3,"ศาลาการเปรียญวัดหนองเต่า",เนินหอม,14.2054355,101.3813428,406,308,75.86,12,14,97,0,0,0,10,7,90,21,46,3,7
3,"ศาลาการเปรียญวัดเนินบาก",เนินหอม,14.1741314,101.3579442,556,440,79.14,23,6,136,0,0,0,6,12,190,15,44,2,5
4,"ศาลาการเปรียญวัดเนินไฮ",เนินหอม,14.1873184,101.4294206,521,402,77.16,22,11,101,0,0,0,4,6,191,11,46,3,5
5,"ศาลาการเปรียญวัดท่าศาลา",เนินหอม,14.1797236,101.364527,493,361,73.23,9,9,105,0,0,0,3,4,166,9,45,4,6
6,"ศาลาการเปรียญวัดบ่อแร่",เนินหอม,14.2561563,101.3848383,538,378,70.26,16,7,86,0,0,0,3,45,175,12,30,0,3
7,"ศาลาการเปรียญวัดธารเลา",เนินหอม,14.1561395,101.3750705,360,274,76.11,18,8,84,0,0,0,2,2,123,4,29,0,2
8,"ศาลาการเปรียญวัดเนินสูง",เนินหอม,14.1566984,101.3697578,649,518,79.82,39,18,163,0,0,0,1,4,215,18,55,0,5
9,"โรงเรียนบ้านห้วยเกษียร",เนินหอม,14.1814933,101.4121346,438,350,79.91,23,8,98,0,0,0,1,6,156,6,47,1,3
